sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4856;DHT22;3629;6.428;3.435;2025-08-01T05:36:54.218601+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-08-01T05:36:54.218601+00:00;temperature;25.30
4855;pms5003;3629;6.428;3.435;2025-08-01T05:39:34.119070+00:00;P2;23.00
4855;pms5003;3629;6.428;3.435;2025-08-01T05:39:34.119070+00:00;P1;23.00
4855;pms5003;3629;6.428;3.435;2025-08-01T05:39:34.119070+00:00;P0;15.50
4856;DHT22;3629;6.428;3.435;2025-08-01T05:39:44.455395+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-08-01T05:39:44.455395+00:00;temperature;25.70
4855;pms5003;3629;6.428;3.435;2025-08-01T05:42:24.579541+00:00;P2;21.00
4855;pms5003;3629;6.428;3.435;2025-08-01T05:42:24.579541+00:00;P1;21.00
4855;pms5003;3629;6.428;3.435;2025-08-01T05:42:24.579541+00:00;P0;15.00
4856;DHT22;3629;6.428;3.435;2025-08-01T05:42:34.723149+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-08-01T05:42:34.723149+00:00;temperature;26.10
4855;pms5003;3629;6.428;3.435;2025-08-01T05:45:14.697795+00:00;P2;19.00
4855;pms5003;3629;6.428;3.435;2025-08-01T05:45:14.697795+00:00;P1;20.00
4855;pms5003;3629;6.428;3.435;2025-08-01T05:45:14.697795+00:00;P0;13.50
4856;DHT22;3629;6.428;3.435;2025-08-01T05:45:24.895347+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-08-01T05:45:24.895347+00:00;temperature;26.50
4855;pms5003;3629;6.428;3.435;2025-08-01T05:48:04.782732+00:00;P2;26.25
4855;pms5003;3629;6.428;3.435;2025-08-01T05:48:04.782732+00:00;P1;29.00
4855;pms5003;3629;6.428;3.435;2025-08-01T05:48:04.782732+00:00;P0;17.25
4856;DHT22;3629;6.428;3.435;2025-08-01T05:48:15.043325+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-08-01T05:48:15.043325+00:00;temperature;26.70
4855;pms5003;3629;6.428;3.435;2025-08-01T05:50:54.845410+00:00;P2;28.33
4855;pms5003;3629;6.428;3.435;2025-08-01T05:50:54.845410+00:00;P1;28.33
4855;pms5003;3629;6.428;3.435;2025-08-01T05:50:54.845410+00:00;P0;18.67
4856;DHT22;3629;6.428;3.435;2025-08-01T05:51:05.141787+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-08-01T05:51:05.141787+00:00;temperature;26.80
4855;pms5003;3629;6.428;3.435;2025-08-01T05:53:45.055841+00:00;P2;46.67
4855;pms5003;3629;6.428;3.435;2025-08-01T05:53:45.055841+00:00;P1;55.67
4855;pms5003;3629;6.428;3.435;2025-08-01T05:53:45.055841+00:00;P0;32.33
4856;DHT22;3629;6.428;3.435;2025-08-01T05:53:55.302702+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-08-01T05:53:55.302702+00:00;temperature;27.00
4855;pms5003;3629;6.428;3.435;2025-08-01T05:56:38.440806+00:00;P2;19.00
4855;pms5003;3629;6.428;3.435;2025-08-01T05:56:38.440806+00:00;P1;21.00
4855;pms5003;3629;6.428;3.435;2025-08-01T05:56:38.440806+00:00;P0;14.75
4856;DHT22;3629;6.428;3.435;2025-08-01T05:56:48.579569+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-08-01T05:56:48.579569+00:00;temperature;27.10
4855;pms5003;3629;6.428;3.435;2025-08-01T05:59:28.474633+00:00;P2;27.00
4855;pms5003;3629;6.428;3.435;2025-08-01T05:59:28.474633+00:00;P1;28.00
4855;pms5003;3629;6.428;3.435;2025-08-01T05:59:28.474633+00:00;P0;18.00
4856;DHT22;3629;6.428;3.435;2025-08-01T05:59:38.534499+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-08-01T05:59:38.534499+00:00;temperature;27.20
4855;pms5003;3629;6.428;3.435;2025-08-01T06:02:18.715761+00:00;P2;38.50
4855;pms5003;3629;6.428;3.435;2025-08-01T06:02:18.715761+00:00;P1;44.00
4855;pms5003;3629;6.428;3.435;2025-08-01T06:02:18.715761+00:00;P0;28.00
4856;DHT22;3629;6.428;3.435;2025-08-01T06:02:29.022006+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-08-01T06:02:29.022006+00:00;temperature;27.30
4855;pms5003;3629;6.428;3.435;2025-08-01T06:05:09.156115+00:00;P2;26.00
4855;pms5003;3629;6.428;3.435;2025-08-01T06:05:09.156115+00:00;P1;27.00
4855;pms5003;3629;6.428;3.435;2025-08-01T06:05:09.156115+00:00;P0;19.00
4856;DHT22;3629;6.428;3.435;2025-08-01T06:05:19.364039+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-08-01T06:05:19.364039+00:00;temperature;27.30
4855;pms5003;3629;6.428;3.435;2025-08-01T06:07:59.373993+00:00;P2;12.33
4855;pms5003;3629;6.428;3.435;2025-08-01T06:07:59.373993+00:00;P1;14.00
