sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4855;pms5003;3629;6.428;3.435;2025-01-01T05:45:27.045438+00:00;P2;78.00
4855;pms5003;3629;6.428;3.435;2025-01-01T05:45:27.045438+00:00;P1;83.50
4855;pms5003;3629;6.428;3.435;2025-01-01T05:45:27.045438+00:00;P0;43.00
4856;DHT22;3629;6.428;3.435;2025-01-01T05:45:37.155982+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-01-01T05:45:37.155982+00:00;temperature;27.20
4857;pms5003;3630;6.540;3.297;2025-01-01T05:54:53.253376+00:00;P2;53.45
4857;pms5003;3630;6.540;3.297;2025-01-01T05:54:53.253376+00:00;P1;67.73
4857;pms5003;3630;6.540;3.297;2025-01-01T05:54:53.253376+00:00;P0;33.73
4858;DHT22;3630;6.540;3.297;2025-01-01T05:55:06.310304+00:00;humidity;100.00
4858;DHT22;3630;6.540;3.297;2025-01-01T05:55:06.310304+00:00;temperature;26.10
4857;pms5003;3630;6.540;3.297;2025-01-01T10:07:10.300155+00:00;P2;38.15
4857;pms5003;3630;6.540;3.297;2025-01-01T10:07:10.300155+00:00;P1;47.08
4857;pms5003;3630;6.540;3.297;2025-01-01T10:07:10.300155+00:00;P0;25.85
4858;DHT22;3630;6.540;3.297;2025-01-01T10:07:23.342404+00:00;humidity;69.10
4858;DHT22;3630;6.540;3.297;2025-01-01T10:07:23.342404+00:00;temperature;34.80
4857;pms5003;3630;6.540;3.297;2025-01-01T10:08:14.310888+00:00;P2;41.00
4857;pms5003;3630;6.540;3.297;2025-01-01T10:08:14.310888+00:00;P1;50.25
4857;pms5003;3630;6.540;3.297;2025-01-01T10:08:14.310888+00:00;P0;26.50
4858;DHT22;3630;6.540;3.297;2025-01-01T10:08:27.449630+00:00;humidity;65.50
4858;DHT22;3630;6.540;3.297;2025-01-01T10:08:27.449630+00:00;temperature;35.90
4857;pms5003;3630;6.540;3.297;2025-01-01T10:09:18.443392+00:00;P2;36.33
4857;pms5003;3630;6.540;3.297;2025-01-01T10:09:18.443392+00:00;P1;45.33
4857;pms5003;3630;6.540;3.297;2025-01-01T10:09:18.443392+00:00;P0;26.00
4858;DHT22;3630;6.540;3.297;2025-01-01T10:09:31.593202+00:00;humidity;65.60
4858;DHT22;3630;6.540;3.297;2025-01-01T10:09:31.593202+00:00;temperature;36.00
4857;pms5003;3630;6.540;3.297;2025-01-01T10:10:22.272850+00:00;P2;37.33
4857;pms5003;3630;6.540;3.297;2025-01-01T10:10:22.272850+00:00;P1;45.33
4857;pms5003;3630;6.540;3.297;2025-01-01T10:10:22.272850+00:00;P0;24.67
4858;DHT22;3630;6.540;3.297;2025-01-01T10:10:35.394879+00:00;humidity;64.70
4858;DHT22;3630;6.540;3.297;2025-01-01T10:10:35.394879+00:00;temperature;36.20
4857;pms5003;3630;6.540;3.297;2025-01-01T10:11:26.255183+00:00;P2;40.00
4857;pms5003;3630;6.540;3.297;2025-01-01T10:11:26.255183+00:00;P1;47.33
4857;pms5003;3630;6.540;3.297;2025-01-01T10:11:26.255183+00:00;P0;25.67
4858;DHT22;3630;6.540;3.297;2025-01-01T10:11:39.393570+00:00;humidity;64.80
4858;DHT22;3630;6.540;3.297;2025-01-01T10:11:39.393570+00:00;temperature;36.30
4857;pms5003;3630;6.540;3.297;2025-01-01T10:12:30.419139+00:00;P2;40.00
4857;pms5003;3630;6.540;3.297;2025-01-01T10:12:30.419139+00:00;P1;47.00
4857;pms5003;3630;6.540;3.297;2025-01-01T10:12:30.419139+00:00;P0;27.00
4858;DHT22;3630;6.540;3.297;2025-01-01T10:12:43.499320+00:00;humidity;64.50
4858;DHT22;3630;6.540;3.297;2025-01-01T10:12:43.499320+00:00;temperature;36.50
4857;pms5003;3630;6.540;3.297;2025-01-01T10:13:34.232480+00:00;P2;41.67
4857;pms5003;3630;6.540;3.297;2025-01-01T10:13:34.232480+00:00;P1;52.67
4857;pms5003;3630;6.540;3.297;2025-01-01T10:13:34.232480+00:00;P0;26.33
4858;DHT22;3630;6.540;3.297;2025-01-01T10:13:47.338207+00:00;humidity;64.10
4858;DHT22;3630;6.540;3.297;2025-01-01T10:13:47.338207+00:00;temperature;36.80
4857;pms5003;3630;6.540;3.297;2025-01-01T10:14:38.070638+00:00;P2;38.00
4857;pms5003;3630;6.540;3.297;2025-01-01T10:14:38.070638+00:00;P1;44.00
4857;pms5003;3630;6.540;3.297;2025-01-01T10:14:38.070638+00:00;P0;24.00
4858;DHT22;3630;6.540;3.297;2025-01-01T10:14:51.321137+00:00;humidity;60.90
4858;DHT22;3630;6.540;3.297;2025-01-01T10:14:51.321137+00:00;temperature;37.00
4857;pms5003;3630;6.540;3.297;2025-01-01T10:15:42.151405+00:00;P2;43.00
4857;pms5003;3630;6.540;3.297;2025-01-01T10:15:42.151405+00:00;P1;54.50
4857;pms5003;3630;6.540;3.297;2025-01-01T10:15:42.151405+00:00;P0;28.50
4858;DHT22;3630;6.540;3.297;2025-01-01T10:15:55.266823+00:00;humidity;60.50
4858;DHT22;3630;6.540;3.297;2025-01-01T10:15:55.266823+00:00;temperature;36.80
4857;pms5003;3630;6.540;3.297;2025-01-01T10:16:46.139464+00:00;P2;44.00
4857;pms5003;3630;6.540;3.297;2025-01-01T10:16:46.139464+00:00;P1;54.50
4857;pms5003;3630;6.540;3.297;2025-01-01T10:16:46.139464+00:00;P0;29.00
4858;DHT22;3630;6.540;3.297;2025-01-01T10:16:59.249706+00:00;humidity;60.60
4858;DHT22;3630;6.540;3.297;2025-01-01T10:16:59.249706+00:00;temperature;36.80
4857;pms5003;3630;6.540;3.297;2025-01-01T10:17:50.032219+00:00;P2;43.00
4857;pms5003;3630;6.540;3.297;2025-01-01T10:17:50.032219+00:00;P1;52.00
4857;pms5003;3630;6.540;3.297;2025-01-01T10:17:50.032219+00:00;P0;28.00
4858;DHT22;3630;6.540;3.297;2025-01-01T10:18:03.283713+00:00;humidity;61.00
4858;DHT22;3630;6.540;3.297;2025-01-01T10:18:03.283713+00:00;temperature;36.80
4857;pms5003;3630;6.540;3.297;2025-01-01T10:18:54.027962+00:00;P2;40.25
4857;pms5003;3630;6.540;3.297;2025-01-01T10:18:54.027962+00:00;P1;49.75
4857;pms5003;3630;6.540;3.297;2025-01-01T10:18:54.027962+00:00;P0;27.00
4858;DHT22;3630;6.540;3.297;2025-01-01T10:19:07.138282+00:00;humidity;60.70
4858;DHT22;3630;6.540;3.297;2025-01-01T10:19:07.138282+00:00;temperature;36.90
4857;pms5003;3630;6.540;3.297;2025-01-01T10:19:57.943863+00:00;P2;36.00
4857;pms5003;3630;6.540;3.297;2025-01-01T10:19:57.943863+00:00;P1;47.00
4857;pms5003;3630;6.540;3.297;2025-01-01T10:19:57.943863+00:00;P0;22.75
4858;DHT22;3630;6.540;3.297;2025-01-01T10:20:11.077616+00:00;humidity;60.30
4858;DHT22;3630;6.540;3.297;2025-01-01T10:20:11.077616+00:00;temperature;37.00
4857;pms5003;3630;6.540;3.297;2025-01-01T10:21:01.784734+00:00;P2;36.00
4857;pms5003;3630;6.540;3.297;2025-01-01T10:21:01.784734+00:00;P1;43.50
4857;pms5003;3630;6.540;3.297;2025-01-01T10:21:01.784734+00:00;P0;24.00
4858;DHT22;3630;6.540;3.297;2025-01-01T10:21:14.918956+00:00;humidity;59.80
4858;DHT22;3630;6.540;3.297;2025-01-01T10:21:14.918956+00:00;temperature;37.20
4857;pms5003;3630;6.540;3.297;2025-01-01T10:22:05.670287+00:00;P2;39.00
4857;pms5003;3630;6.540;3.297;2025-01-01T10:22:05.670287+00:00;P1;46.50
4857;pms5003;3630;6.540;3.297;2025-01-01T10:22:05.670287+00:00;P0;26.00
4858;DHT22;3630;6.540;3.297;2025-01-01T10:22:18.765247+00:00;humidity;60.20
4858;DHT22;3630;6.540;3.297;2025-01-01T10:22:18.765247+00:00;temperature;37.30
4857;pms5003;3630;6.540;3.297;2025-01-01T10:23:09.527631+00:00;P2;29.67
4857;pms5003;3630;6.540;3.297;2025-01-01T10:23:09.527631+00:00;P1;30.00
4857;pms5003;3630;6.540;3.297;2025-01-01T10:23:09.527631+00:00;P0;20.00
4858;DHT22;3630;6.540;3.297;2025-01-01T10:23:22.652838+00:00;humidity;59.50
4858;DHT22;3630;6.540;3.297;2025-01-01T10:23:22.652838+00:00;temperature;37.70
4857;pms5003;3630;6.540;3.297;2025-01-01T10:24:13.490209+00:00;P2;40.00
4857;pms5003;3630;6.540;3.297;2025-01-01T10:24:13.490209+00:00;P1;48.67
4857;pms5003;3630;6.540;3.297;2025-01-01T10:24:13.490209+00:00;P0;26.33
4858;DHT22;3630;6.540;3.297;2025-01-01T10:24:26.640167+00:00;humidity;58.80
4858;DHT22;3630;6.540;3.297;2025-01-01T10:24:26.640167+00:00;temperature;37.30
4857;pms5003;3630;6.540;3.297;2025-01-01T10:25:17.390003+00:00;P2;38.67
4857;pms5003;3630;6.540;3.297;2025-01-01T10:25:17.390003+00:00;P1;45.67
4857;pms5003;3630;6.540;3.297;2025-01-01T10:25:17.390003+00:00;P0;25.67
4858;DHT22;3630;6.540;3.297;2025-01-01T10:25:30.513327+00:00;humidity;59.70
4858;DHT22;3630;6.540;3.297;2025-01-01T10:25:30.513327+00:00;temperature;37.30
4857;pms5003;3630;6.540;3.297;2025-01-01T10:26:21.463772+00:00;P2;39.00
4857;pms5003;3630;6.540;3.297;2025-01-01T10:26:21.463772+00:00;P1;49.00
