sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4851;pms5003;3627;6.515;3.400;2024-07-02T05:27:36.836632+00:00;P2;77.17
4851;pms5003;3627;6.515;3.400;2024-07-02T05:27:36.836632+00:00;P1;82.00
4851;pms5003;3627;6.515;3.400;2024-07-02T05:27:36.836632+00:00;P0;50.58
4852;DHT22;3627;6.515;3.400;2024-07-02T05:27:50.273670+00:00;humidity;100.00
4852;DHT22;3627;6.515;3.400;2024-07-02T05:27:50.273670+00:00;temperature;26.30
4851;pms5003;3627;6.515;3.400;2024-07-02T05:28:41.553266+00:00;P2;74.00
4851;pms5003;3627;6.515;3.400;2024-07-02T05:28:41.553266+00:00;P1;78.00
4851;pms5003;3627;6.515;3.400;2024-07-02T05:28:41.553266+00:00;P0;49.00
4852;DHT22;3627;6.515;3.400;2024-07-02T05:28:55.185027+00:00;humidity;100.00
4852;DHT22;3627;6.515;3.400;2024-07-02T05:28:55.185027+00:00;temperature;26.50
4851;pms5003;3627;6.515;3.400;2024-07-02T05:29:46.242775+00:00;P2;70.75
4851;pms5003;3627;6.515;3.400;2024-07-02T05:29:46.242775+00:00;P1;77.00
4851;pms5003;3627;6.515;3.400;2024-07-02T05:29:46.242775+00:00;P0;45.00
4852;DHT22;3627;6.515;3.400;2024-07-02T05:29:59.515013+00:00;humidity;100.00
4852;DHT22;3627;6.515;3.400;2024-07-02T05:29:59.515013+00:00;temperature;26.60
4851;pms5003;3627;6.515;3.400;2024-07-02T05:30:50.454195+00:00;P2;71.00
4851;pms5003;3627;6.515;3.400;2024-07-02T05:30:50.454195+00:00;P1;77.00
4851;pms5003;3627;6.515;3.400;2024-07-02T05:30:50.454195+00:00;P0;47.00
4852;DHT22;3627;6.515;3.400;2024-07-02T05:31:03.581369+00:00;humidity;100.00
4852;DHT22;3627;6.515;3.400;2024-07-02T05:31:03.581369+00:00;temperature;26.70
4851;pms5003;3627;6.515;3.400;2024-07-02T05:31:54.532475+00:00;P2;66.00
4851;pms5003;3627;6.515;3.400;2024-07-02T05:31:54.532475+00:00;P1;74.67
4851;pms5003;3627;6.515;3.400;2024-07-02T05:31:54.532475+00:00;P0;42.67
4852;DHT22;3627;6.515;3.400;2024-07-02T05:32:07.776742+00:00;humidity;100.00
4852;DHT22;3627;6.515;3.400;2024-07-02T05:32:07.776742+00:00;temperature;26.90
4851;pms5003;3627;6.515;3.400;2024-07-02T05:35:07.362365+00:00;P2;66.50
4851;pms5003;3627;6.515;3.400;2024-07-02T05:35:07.362365+00:00;P1;74.75
4851;pms5003;3627;6.515;3.400;2024-07-02T05:35:07.362365+00:00;P0;43.00
4852;DHT22;3627;6.515;3.400;2024-07-02T05:35:20.802628+00:00;humidity;100.00
4852;DHT22;3627;6.515;3.400;2024-07-02T05:35:20.802628+00:00;temperature;27.30
4851;pms5003;3627;6.515;3.400;2024-07-02T05:37:36.160936+00:00;P2;61.00
4851;pms5003;3627;6.515;3.400;2024-07-02T05:37:36.160936+00:00;P1;72.00
4851;pms5003;3627;6.515;3.400;2024-07-02T05:37:36.160936+00:00;P0;40.50
4851;pms5003;3627;6.515;3.400;2024-07-02T05:38:20.433490+00:00;P2;66.33
