sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4855;pms5003;3629;6.428;3.435;2025-03-01T05:54:37.150543+00:00;P2;49.50
4855;pms5003;3629;6.428;3.435;2025-03-01T05:54:37.150543+00:00;P1;60.50
4855;pms5003;3629;6.428;3.435;2025-03-01T05:54:37.150543+00:00;P0;31.00
4856;DHT22;3629;6.428;3.435;2025-03-02T05:54:17.501508+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-03-02T05:54:17.501508+00:00;temperature;29.20
4855;pms5003;3629;6.428;3.435;2025-03-02T05:59:47.675974+00:00;P2;22.00
4855;pms5003;3629;6.428;3.435;2025-03-02T05:59:47.675974+00:00;P1;22.00
4855;pms5003;3629;6.428;3.435;2025-03-02T05:59:47.675974+00:00;P0;11.00
4855;pms5003;3629;6.428;3.435;2025-03-02T06:05:23.433806+00:00;P2;22.33
4855;pms5003;3629;6.428;3.435;2025-03-02T06:05:23.433806+00:00;P1;23.00
4855;pms5003;3629;6.428;3.435;2025-03-02T06:05:23.433806+00:00;P0;11.67
4855;pms5003;3629;6.428;3.435;2025-03-02T06:10:59.318983+00:00;P2;16.00
4855;pms5003;3629;6.428;3.435;2025-03-02T06:10:59.318983+00:00;P1;18.00
4855;pms5003;3629;6.428;3.435;2025-03-02T06:10:59.318983+00:00;P0;11.00
4855;pms5003;3629;6.428;3.435;2025-03-02T06:16:35.177645+00:00;P2;22.50
4855;pms5003;3629;6.428;3.435;2025-03-02T06:16:35.177645+00:00;P1;26.00
4855;pms5003;3629;6.428;3.435;2025-03-02T06:16:35.177645+00:00;P0;12.00
4855;pms5003;3629;6.428;3.435;2025-03-02T06:22:11.037175+00:00;P2;22.00
4855;pms5003;3629;6.428;3.435;2025-03-02T06:22:11.037175+00:00;P1;23.50
4855;pms5003;3629;6.428;3.435;2025-03-02T06:22:11.037175+00:00;P0;12.00
4855;pms5003;3629;6.428;3.435;2025-03-02T06:27:47.175130+00:00;P2;20.50
4855;pms5003;3629;6.428;3.435;2025-03-02T06:27:47.175130+00:00;P1;22.50
4855;pms5003;3629;6.428;3.435;2025-03-02T06:27:47.175130+00:00;P0;9.25
4855;pms5003;3629;6.428;3.435;2025-03-02T06:33:23.242279+00:00;P2;19.33
4855;pms5003;3629;6.428;3.435;2025-03-02T06:33:23.242279+00:00;P1;21.33
4855;pms5003;3629;6.428;3.435;2025-03-02T06:33:23.242279+00:00;P0;12.00
4855;pms5003;3629;6.428;3.435;2025-03-02T06:38:59.726813+00:00;P2;19.00
4855;pms5003;3629;6.428;3.435;2025-03-02T06:38:59.726813+00:00;P1;22.00
4855;pms5003;3629;6.428;3.435;2025-03-02T06:38:59.726813+00:00;P0;11.33
4855;pms5003;3629;6.428;3.435;2025-03-02T06:44:35.806455+00:00;P2;14.50
4855;pms5003;3629;6.428;3.435;2025-03-02T06:44:35.806455+00:00;P1;14.50
4855;pms5003;3629;6.428;3.435;2025-03-02T06:44:35.806455+00:00;P0;10.00
4855;pms5003;3629;6.428;3.435;2025-03-02T06:50:12.016672+00:00;P2;20.00
4855;pms5003;3629;6.428;3.435;2025-03-02T06:50:12.016672+00:00;P1;25.00
4855;pms5003;3629;6.428;3.435;2025-03-02T06:50:12.016672+00:00;P0;12.00
4855;pms5003;3629;6.428;3.435;2025-03-02T06:55:47.256476+00:00;P2;24.50
4855;pms5003;3629;6.428;3.435;2025-03-02T06:55:47.256476+00:00;P1;25.75
4855;pms5003;3629;6.428;3.435;2025-03-02T06:55:47.256476+00:00;P0;12.75
4855;pms5003;3629;6.428;3.435;2025-03-03T05:51:44.694927+00:00;P2;26.00
4855;pms5003;3629;6.428;3.435;2025-03-03T05:51:44.694927+00:00;P1;27.00
4855;pms5003;3629;6.428;3.435;2025-03-03T05:51:44.694927+00:00;P0;15.00
4856;DHT22;3629;6.428;3.435;2025-03-04T05:55:36.485695+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-03-04T05:55:36.485695+00:00;temperature;29.80
4855;pms5003;3629;6.428;3.435;2025-03-04T06:01:06.577962+00:00;P2;21.00
4855;pms5003;3629;6.428;3.435;2025-03-04T06:01:06.577962+00:00;P1;22.00
4855;pms5003;3629;6.428;3.435;2025-03-04T06:01:06.577962+00:00;P0;14.67
4855;pms5003;3629;6.428;3.435;2025-03-04T06:06:42.564019+00:00;P2;26.00
4855;pms5003;3629;6.428;3.435;2025-03-04T06:06:42.564019+00:00;P1;27.67
4855;pms5003;3629;6.428;3.435;2025-03-04T06:06:42.564019+00:00;P0;14.00
4855;pms5003;3629;6.428;3.435;2025-03-04T06:12:18.937331+00:00;P2;23.00
4855;pms5003;3629;6.428;3.435;2025-03-04T06:12:18.937331+00:00;P1;24.00
4855;pms5003;3629;6.428;3.435;2025-03-04T06:12:18.937331+00:00;P0;13.67
4855;pms5003;3629;6.428;3.435;2025-03-04T06:17:54.744102+00:00;P2;23.75
4855;pms5003;3629;6.428;3.435;2025-03-04T06:17:54.744102+00:00;P1;25.50
4855;pms5003;3629;6.428;3.435;2025-03-04T06:17:54.744102+00:00;P0;14.75
