sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4851;pms5003;3627;6.515;3.400;2024-05-01T00:00:05.821232+00:00;P2;14.50
4851;pms5003;3627;6.515;3.400;2024-05-01T00:00:05.821232+00:00;P1;15.50
4851;pms5003;3627;6.515;3.400;2024-05-01T00:00:05.821232+00:00;P0;11.50
4852;DHT22;3627;6.515;3.400;2024-05-01T00:00:18.971418+00:00;humidity;95.70
4852;DHT22;3627;6.515;3.400;2024-05-01T00:00:18.971418+00:00;temperature;26.80
4851;pms5003;3627;6.515;3.400;2024-05-01T00:01:09.673461+00:00;P2;13.00
4851;pms5003;3627;6.515;3.400;2024-05-01T00:01:09.673461+00:00;P1;13.00
4851;pms5003;3627;6.515;3.400;2024-05-01T00:01:09.673461+00:00;P0;10.00
4852;DHT22;3627;6.515;3.400;2024-05-01T00:01:22.791880+00:00;humidity;97.00
4852;DHT22;3627;6.515;3.400;2024-05-01T00:01:22.791880+00:00;temperature;26.80
4851;pms5003;3627;6.515;3.400;2024-05-01T00:02:13.957866+00:00;P2;13.60
4851;pms5003;3627;6.515;3.400;2024-05-01T00:02:13.957866+00:00;P1;17.60
4851;pms5003;3627;6.515;3.400;2024-05-01T00:02:13.957866+00:00;P0;10.00
4852;DHT22;3627;6.515;3.400;2024-05-01T00:02:26.834756+00:00;humidity;96.60
4852;DHT22;3627;6.515;3.400;2024-05-01T00:02:26.834756+00:00;temperature;26.80
4851;pms5003;3627;6.515;3.400;2024-05-01T00:03:21.658535+00:00;P2;16.00
4851;pms5003;3627;6.515;3.400;2024-05-01T00:03:21.658535+00:00;P1;16.00
4851;pms5003;3627;6.515;3.400;2024-05-01T00:03:21.658535+00:00;P0;10.00
4852;DHT22;3627;6.515;3.400;2024-05-01T00:03:35.374026+00:00;humidity;95.30
4852;DHT22;3627;6.515;3.400;2024-05-01T00:03:35.374026+00:00;temperature;26.80
4851;pms5003;3627;6.515;3.400;2024-05-01T00:04:26.697790+00:00;P2;13.67
4851;pms5003;3627;6.515;3.400;2024-05-01T00:04:26.697790+00:00;P1;13.67
4851;pms5003;3627;6.515;3.400;2024-05-01T00:04:26.697790+00:00;P0;10.00
4852;DHT22;3627;6.515;3.400;2024-05-01T00:04:39.535134+00:00;humidity;95.80
4852;DHT22;3627;6.515;3.400;2024-05-01T00:04:39.535134+00:00;temperature;26.80
4851;pms5003;3627;6.515;3.400;2024-05-01T00:05:30.330843+00:00;P2;13.00
4851;pms5003;3627;6.515;3.400;2024-05-01T00:05:30.330843+00:00;P1;15.00
4851;pms5003;3627;6.515;3.400;2024-05-01T00:05:30.330843+00:00;P0;10.00
4852;DHT22;3627;6.515;3.400;2024-05-01T00:05:55.115826+00:00;humidity;96.20
4852;DHT22;3627;6.515;3.400;2024-05-01T00:05:55.115826+00:00;temperature;26.80
4851;pms5003;3627;6.515;3.400;2024-05-01T00:06:45.214332+00:00;P2;14.00
4851;pms5003;3627;6.515;3.400;2024-05-01T00:06:45.214332+00:00;P1;15.67
4851;pms5003;3627;6.515;3.400;2024-05-01T00:06:45.214332+00:00;P0;11.00
4852;DHT22;3627;6.515;3.400;2024-05-01T00:06:58.402335+00:00;humidity;96.20
4852;DHT22;3627;6.515;3.400;2024-05-01T00:06:58.402335+00:00;temperature;26.80
4851;pms5003;3627;6.515;3.400;2024-05-01T00:07:49.190740+00:00;P2;11.00
4851;pms5003;3627;6.515;3.400;2024-05-01T00:07:49.190740+00:00;P1;12.50
4851;pms5003;3627;6.515;3.400;2024-05-01T00:07:49.190740+00:00;P0;8.50
4852;DHT22;3627;6.515;3.400;2024-05-01T00:08:02.311748+00:00;humidity;96.20
4852;DHT22;3627;6.515;3.400;2024-05-01T00:08:02.311748+00:00;temperature;26.80
4851;pms5003;3627;6.515;3.400;2024-05-01T00:09:02.268437+00:00;P2;16.20
4851;pms5003;3627;6.515;3.400;2024-05-01T00:09:02.268437+00:00;P1;18.60
4851;pms5003;3627;6.515;3.400;2024-05-01T00:09:02.268437+00:00;P0;10.20
4852;DHT22;3627;6.515;3.400;2024-05-01T00:09:15.977167+00:00;humidity;96.90
4852;DHT22;3627;6.515;3.400;2024-05-01T00:09:15.977167+00:00;temperature;26.70
4851;pms5003;3627;6.515;3.400;2024-05-01T00:10:07.191125+00:00;P2;14.00
4851;pms5003;3627;6.515;3.400;2024-05-01T00:10:07.191125+00:00;P1;14.00
4851;pms5003;3627;6.515;3.400;2024-05-01T00:10:07.191125+00:00;P0;10.00
4852;DHT22;3627;6.515;3.400;2024-05-01T00:10:20.077052+00:00;humidity;97.00
4852;DHT22;3627;6.515;3.400;2024-05-01T00:10:20.077052+00:00;temperature;26.70
4851;pms5003;3627;6.515;3.400;2024-05-01T00:11:10.789493+00:00;P2;12.00
4851;pms5003;3627;6.515;3.400;2024-05-01T00:11:10.789493+00:00;P1;12.00
4851;pms5003;3627;6.515;3.400;2024-05-01T00:11:10.789493+00:00;P0;9.67
4852;DHT22;3627;6.515;3.400;2024-05-01T00:11:23.887940+00:00;humidity;97.60
4852;DHT22;3627;6.515;3.400;2024-05-01T00:11:23.887940+00:00;temperature;26.70
4851;pms5003;3627;6.515;3.400;2024-05-01T00:12:14.569744+00:00;P2;14.00
4851;pms5003;3627;6.515;3.400;2024-05-01T00:12:14.569744+00:00;P1;14.00
4851;pms5003;3627;6.515;3.400;2024-05-01T00:12:14.569744+00:00;P0;8.67
4852;DHT22;3627;6.515;3.400;2024-05-01T00:12:27.680647+00:00;humidity;97.10
4852;DHT22;3627;6.515;3.400;2024-05-01T00:12:27.680647+00:00;temperature;26.70
4851;pms5003;3627;6.515;3.400;2024-05-01T00:13:18.332093+00:00;P2;14.33
4851;pms5003;3627;6.515;3.400;2024-05-01T00:13:18.332093+00:00;P1;14.33
4851;pms5003;3627;6.515;3.400;2024-05-01T00:13:18.332093+00:00;P0;10.00
4852;DHT22;3627;6.515;3.400;2024-05-01T00:13:31.509458+00:00;humidity;96.70
4852;DHT22;3627;6.515;3.400;2024-05-01T00:13:31.509458+00:00;temperature;26.70
4851;pms5003;3627;6.515;3.400;2024-05-01T00:14:22.231415+00:00;P2;13.25
4851;pms5003;3627;6.515;3.400;2024-05-01T00:14:22.231415+00:00;P1;16.75
4851;pms5003;3627;6.515;3.400;2024-05-01T00:14:22.231415+00:00;P0;9.75
4852;DHT22;3627;6.515;3.400;2024-05-01T00:14:35.331827+00:00;humidity;97.40
4852;DHT22;3627;6.515;3.400;2024-05-01T00:14:35.331827+00:00;temperature;26.80
4851;pms5003;3627;6.515;3.400;2024-05-01T00:15:26.331254+00:00;P2;13.50
4851;pms5003;3627;6.515;3.400;2024-05-01T00:15:26.331254+00:00;P1;13.50
4851;pms5003;3627;6.515;3.400;2024-05-01T00:15:26.331254+00:00;P0;9.75
4852;DHT22;3627;6.515;3.400;2024-05-01T00:15:39.170781+00:00;humidity;97.20
4852;DHT22;3627;6.515;3.400;2024-05-01T00:15:39.170781+00:00;temperature;26.80
4851;pms5003;3627;6.515;3.400;2024-05-01T00:16:29.848852+00:00;P2;13.67
4851;pms5003;3627;6.515;3.400;2024-05-01T00:16:29.848852+00:00;P1;15.67
4851;pms5003;3627;6.515;3.400;2024-05-01T00:16:29.848852+00:00;P0;9.67
4852;DHT22;3627;6.515;3.400;2024-05-01T00:16:42.933252+00:00;humidity;96.90
4852;DHT22;3627;6.515;3.400;2024-05-01T00:16:42.933252+00:00;temperature;26.80
4851;pms5003;3627;6.515;3.400;2024-05-01T00:17:33.653397+00:00;P2;14.00
4851;pms5003;3627;6.515;3.400;2024-05-01T00:17:33.653397+00:00;P1;15.00
4851;pms5003;3627;6.515;3.400;2024-05-01T00:17:33.653397+00:00;P0;10.00
4852;DHT22;3627;6.515;3.400;2024-05-01T00:17:47.150904+00:00;humidity;97.10
4852;DHT22;3627;6.515;3.400;2024-05-01T00:17:47.150904+00:00;temperature;26.90
4851;pms5003;3627;6.515;3.400;2024-05-01T00:18:37.590799+00:00;P2;16.67
4851;pms5003;3627;6.515;3.400;2024-05-01T00:18:37.590799+00:00;P1;17.67
4851;pms5003;3627;6.515;3.400;2024-05-01T00:18:37.590799+00:00;P0;11.00
4852;DHT22;3627;6.515;3.400;2024-05-01T00:18:50.669374+00:00;humidity;97.10
4852;DHT22;3627;6.515;3.400;2024-05-01T00:18:50.669374+00:00;temperature;26.90
4851;pms5003;3627;6.515;3.400;2024-05-01T00:19:41.534050+00:00;P2;12.75
4851;pms5003;3627;6.515;3.400;2024-05-01T00:19:41.534050+00:00;P1;13.00
4851;pms5003;3627;6.515;3.400;2024-05-01T00:19:41.534050+00:00;P0;8.75
4852;DHT22;3627;6.515;3.400;2024-05-01T00:19:54.758599+00:00;humidity;96.90
4852;DHT22;3627;6.515;3.400;2024-05-01T00:19:54.758599+00:00;temperature;26.90
4851;pms5003;3627;6.515;3.400;2024-05-01T00:20:45.476122+00:00;P2;11.00
4851;pms5003;3627;6.515;3.400;2024-05-01T00:20:45.476122+00:00;P1;14.00
4851;pms5003;3627;6.515;3.400;2024-05-01T00:20:45.476122+00:00;P0;8.00
4852;DHT22;3627;6.515;3.400;2024-05-01T00:20:58.570487+00:00;humidity;96.70
4852;DHT22;3627;6.515;3.400;2024-05-01T00:20:58.570487+00:00;temperature;26.80
4851;pms5003;3627;6.515;3.400;2024-05-01T00:21:49.414640+00:00;P2;12.00
4851;pms5003;3627;6.515;3.400;2024-05-01T00:21:49.414640+00:00;P1;12.00
4851;pms5003;3627;6.515;3.400;2024-05-01T00:21:49.414640+00:00;P0;9.00
4852;DHT22;3627;6.515;3.400;2024-05-01T00:22:02.494959+00:00;humidity;96.30
4852;DHT22;3627;6.515;3.400;2024-05-01T00:22:02.494959+00:00;temperature;26.90
4851;pms5003;3627;6.515;3.400;2024-05-01T00:22:53.549842+00:00;P2;12.00
4851;pms5003;3627;6.515;3.400;2024-05-01T00:22:53.549842+00:00;P1;13.00
4851;pms5003;3627;6.515;3.400;2024-05-01T00:22:53.549842+00:00;P0;8.00
4852;DHT22;3627;6.515;3.400;2024-05-01T00:23:06.497603+00:00;humidity;96.00
4852;DHT22;3627;6.515;3.400;2024-05-01T00:23:06.497603+00:00;temperature;26.80
4851;pms5003;3627;6.515;3.400;2024-05-01T00:23:58.504019+00:00;P2;12.00
4851;pms5003;3627;6.515;3.400;2024-05-01T00:23:58.504019+00:00;P1;12.00
4851;pms5003;3627;6.515;3.400;2024-05-01T00:23:58.504019+00:00;P0;7.50
4852;DHT22;3627;6.515;3.400;2024-05-01T00:24:11.374254+00:00;humidity;96.50
4852;DHT22;3627;6.515;3.400;2024-05-01T00:24:11.374254+00:00;temperature;26.80
4851;pms5003;3627;6.515;3.400;2024-05-01T00:25:01.992421+00:00;P2;13.67
4851;pms5003;3627;6.515;3.400;2024-05-01T00:25:01.992421+00:00;P1;14.33
4851;pms5003;3627;6.515;3.400;2024-05-01T00:25:01.992421+00:00;P0;10.00
4852;DHT22;3627;6.515;3.400;2024-05-01T00:25:15.087166+00:00;humidity;97.70
4852;DHT22;3627;6.515;3.400;2024-05-01T00:25:15.087166+00:00;temperature;26.80
