sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4891;pms5003;3917;6.698;3.322;2024-11-01T10:34:58.716812+00:00;P2;29.86
4891;pms5003;3917;6.698;3.322;2024-11-01T10:34:58.716812+00:00;P1;32.00
4891;pms5003;3917;6.698;3.322;2024-11-01T10:34:58.716812+00:00;P0;21.21
4891;pms5003;3917;6.698;3.322;2024-11-01T10:51:33.366354+00:00;P2;30.27
4891;pms5003;3917;6.698;3.322;2024-11-01T10:51:33.366354+00:00;P1;32.73
4891;pms5003;3917;6.698;3.322;2024-11-01T10:51:33.366354+00:00;P0;20.36
4891;pms5003;3917;6.698;3.322;2024-11-01T10:59:42.007067+00:00;P2;31.55
4891;pms5003;3917;6.698;3.322;2024-11-01T10:59:42.007067+00:00;P1;35.18
4891;pms5003;3917;6.698;3.322;2024-11-01T10:59:42.007067+00:00;P0;21.64
4891;pms5003;3917;6.698;3.322;2024-11-01T11:22:26.851046+00:00;P2;28.00
4891;pms5003;3917;6.698;3.322;2024-11-01T11:22:26.851046+00:00;P1;30.71
4891;pms5003;3917;6.698;3.322;2024-11-01T11:22:26.851046+00:00;P0;20.36
4891;pms5003;3917;6.698;3.322;2024-11-01T11:23:45.083837+00:00;P2;29.00
4891;pms5003;3917;6.698;3.322;2024-11-01T11:23:45.083837+00:00;P1;30.00
4891;pms5003;3917;6.698;3.322;2024-11-01T11:23:45.083837+00:00;P0;20.00
4891;pms5003;3917;6.698;3.322;2024-11-01T11:26:49.835587+00:00;P2;30.44
4891;pms5003;3917;6.698;3.322;2024-11-01T11:26:49.835587+00:00;P1;33.67
4891;pms5003;3917;6.698;3.322;2024-11-01T11:26:49.835587+00:00;P0;19.78
4891;pms5003;3917;6.698;3.322;2024-11-01T11:34:09.000138+00:00;P2;30.33
4891;pms5003;3917;6.698;3.322;2024-11-01T11:34:09.000138+00:00;P1;33.11
4891;pms5003;3917;6.698;3.322;2024-11-01T11:34:09.000138+00:00;P0;20.22
4891;pms5003;3917;6.698;3.322;2024-11-01T11:47:26.059923+00:00;P2;32.55
4891;pms5003;3917;6.698;3.322;2024-11-01T11:47:26.059923+00:00;P1;39.36
4891;pms5003;3917;6.698;3.322;2024-11-01T11:47:26.059923+00:00;P0;22.00
4891;pms5003;3917;6.698;3.322;2024-11-01T11:53:50.352115+00:00;P2;33.13
4891;pms5003;3917;6.698;3.322;2024-11-01T11:53:50.352115+00:00;P1;38.13
4891;pms5003;3917;6.698;3.322;2024-11-01T11:53:50.352115+00:00;P0;23.12
4891;pms5003;3917;6.698;3.322;2024-11-01T11:55:16.595556+00:00;P2;33.25
4891;pms5003;3917;6.698;3.322;2024-11-01T11:55:16.595556+00:00;P1;41.25
4891;pms5003;3917;6.698;3.322;2024-11-01T11:55:16.595556+00:00;P0;22.25
4891;pms5003;3917;6.698;3.322;2024-11-01T11:56:27.778013+00:00;P2;34.67
4891;pms5003;3917;6.698;3.322;2024-11-01T11:56:27.778013+00:00;P1;39.33
4891;pms5003;3917;6.698;3.322;2024-11-01T11:56:27.778013+00:00;P0;22.67
